      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 274.362671      2.000      1.984   4.199013   4.198788    16.4711    16.4719    16.4708    16.4716    85.4344     0.6297     4.4362     2.4060     2.4059     1.7152     0.0886  58.963196     0.0602 1.0000e-12     0.0000      95.34     4.7671    5.76401  102.91074    32.9051    32.9026    24.0297    24.0276         41 0.0000e+00
 274.362854      3.000      2.984   4.200233   4.199833    16.4846    16.4841    16.4841    16.4836    85.4524     0.6288     4.4371     2.3985     2.3983     1.7353     0.0894  60.779381     0.0621 1.0000e-12     0.0000      89.96     4.4980    5.73702  102.45537    32.9043    32.9013    24.0260    24.0238         36 0.0000e+00
 274.363281      4.000      3.971   4.199347   4.199108    16.4735    16.4743    16.4729    16.4736    85.4653     0.6282     4.4378     2.3971     2.3969     1.6254     0.0850  74.187828     0.0758 1.0000e-12     0.0000      58.58     2.9290    5.75221  102.70506    32.9054    32.9026    24.0294    24.0271         57 0.0000e+00
 274.363403      5.000      4.962   4.176371   4.176282    16.1933    16.1957    16.1925    16.1949    85.2673     0.6375     4.4276     2.4092     2.4090     1.8542     0.0942  61.117035     0.0624 1.0000e-12     0.0000      90.10     4.5050    5.81487  103.27505    32.9348    32.9320    24.1159    24.1133         48 0.0000e+00
 274.363434      6.000      5.957   4.167797   4.167230    16.0867    16.0825    16.0858    16.0815    85.1396     0.6435     4.4211     2.4112     2.4111     2.0031     0.1001  56.607655     0.0578 1.0000e-12     0.0000      99.87     4.9937    5.82564  103.25891    32.9472    32.9457    24.1497    24.1495         33 0.0000e+00
 274.363464      7.000      6.954   4.165254   4.165236    16.0462    16.0488    16.0451    16.0477    85.0745     0.6466     4.4177     2.4106     2.4104     2.0896     0.1036  56.911480     0.0581 1.0000e-12     0.0000     100.00     5.0000    5.83343  103.32161    32.9580    32.9557    24.1672    24.1648         44 0.0000e+00
 274.363495      8.000      7.940   4.161694   4.161444    15.9995    15.9991    15.9982    15.9978    85.1079     0.6450     4.4194     2.4087     2.4085     2.0556     0.1022  56.767456     0.0580 1.0000e-12     0.0000     100.00     5.0000    5.82793  103.13409    32.9650    32.9631    24.1831    24.1818         56 0.0000e+00
 274.363525      9.000      8.930   4.160244   4.160087    15.9783    15.9790    15.9769    15.9776    84.9433     0.6527     4.4110     2.4112     2.4110     2.1797     0.1072  56.749962     0.0580 1.0000e-12     0.0000     100.00     5.0000    5.85104  103.50275    32.9693    32.9674    24.1913    24.1896         34 0.0000e+00
 274.363525     10.000      9.929   4.159306   4.159106    15.9544    15.9551    15.9529    15.9536    84.8535     0.6570     4.4064     2.4119     2.4117     2.2199     0.1088  56.960213     0.0582 1.0000e-12     0.0000     100.00     5.0000    5.84120  103.28722    32.9806    32.9782    24.2053    24.2033         31 0.0000e+00
 274.363556     11.000     10.919   4.160007   4.159777    15.9467    15.9473    15.9450    15.9456    84.6178     0.6681     4.3943     2.4102     2.4100     2.4642     0.1186  56.882214     0.0581 1.0000e-12     0.0000     100.00     5.0000    5.83996  103.25744    32.9928    32.9903    24.2165    24.2144         31 0.0000e+00
 274.363556     12.000     11.919   4.163253   4.163014    15.9614    15.9621    15.9595    15.9602    84.6800     0.6652     4.3975     2.4092     2.4091     2.4894     0.1196  56.695068     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.83349  103.18289    33.0090    33.0063    24.2257    24.2234         37 0.0000e+00
 274.363617     13.000     12.899   4.163346   4.163227    15.9471    15.9480    15.9451    15.9460    84.8157     0.6588     4.4045     2.4061     2.4059     2.4221     0.1169  56.776966     0.0580 1.0000e-12     0.0000     100.00     5.0000    5.82922  103.08634    33.0213    33.0195    24.2384    24.2368         45 0.0000e+00
 274.363617     14.000     13.894   4.165418   4.165184    15.9502    15.9510    15.9481    15.9488    84.9059     0.6545     4.4091     2.4069     2.4067     2.5736     0.1229  56.492123     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.83025  103.12051    33.0367    33.0340    24.2495    24.2473         27 0.0000e+00
 274.363617     15.000     14.891   4.164984   4.164915    15.9430    15.9448    15.9407    15.9425    84.9276     0.6535     4.4102     2.4048     2.4046     2.6401     0.1256  56.077812     0.0573 1.0000e-12     0.0000     100.00     5.0000    5.82362  102.98963    33.0385    33.0364    24.2526    24.2506         22 0.0000e+00
 274.363647     16.000     15.888   4.164716   4.164367    15.9407    15.9403    15.9383    15.9379    84.9818     0.6509     4.4130     2.4053     2.4051     2.7453     0.1298  56.227207     0.0574 1.0000e-12     0.0000     100.00     5.0000    5.83216  103.13558    33.0376    33.0349    24.2525    24.2504         28 0.0000e+00
 274.363678     17.000     16.877   4.163918   4.163837    15.9348    15.9366    15.9322    15.9340    84.9612     0.6519     4.4119     2.4020     2.4018     2.7183     0.1287  56.708015     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.81548  102.82715    33.0351    33.0329    24.2519    24.2498         47 0.0000e+00
 274.363708     18.000     17.860   4.160619   4.160943    15.9058    15.9106    15.9031    15.9078    85.1013     0.6453     4.4191     2.3927     2.3926     2.9720     0.1389  55.905556     0.0571 1.0000e-12     0.0000     100.00     5.0000    5.79547  102.41144    33.0297    33.0286    24.2542    24.2523         30 0.0000e+00
 274.363708     19.000     18.860   4.142899   4.143083    15.7490    15.7522    15.7461    15.7493    85.1668     0.6422     4.4225     2.3943     2.3942     2.6793     0.1272  55.970791     0.0572 1.0000e-12     0.0000     100.00     5.0000    5.83680  102.80695    33.0029    33.0018    24.2688    24.2673         22 0.0000e+00
 274.363739     20.000     19.857   4.143898   4.143743    15.7372    15.7378    15.7341    15.7347    85.2078     0.6403     4.4246     2.3989     2.3987     2.5858     0.1234  56.543118     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.86650  103.31765    33.0212    33.0194    24.2856    24.2840         23 0.0000e+00
 274.363739     21.000     20.853   4.128695   4.129193    15.5901    15.5939    15.5869    15.5907    85.2880     0.6365     4.4287     2.4043     2.4041     2.6466     0.1259  56.515659     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.88009  103.24858    33.0084    33.0097    24.3084    24.3086         33 0.0000e+00
 274.363770     22.000     21.839   4.127364   4.126433    15.5539    15.5511    15.5506    15.5478    84.8881     0.6556     4.4082     2.3966     2.3964     2.6936     0.1277  56.458069     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.83525  102.39858    33.0264    33.0205    24.3303    24.3264         62 0.0000e+00
 274.363800     23.000     22.829   4.155138   4.154801    15.7425    15.7421    15.7390    15.7386    85.4123     0.6307     4.4350     2.3870     2.3869     2.7986     0.1319  56.495068     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.79378  102.10670    33.1157    33.1130    24.3571    24.3552         39 0.0000e+00
 274.363800     24.000     23.823   4.152307   4.152166    15.7157    15.7156    15.7120    15.7120    85.2486     0.6384     4.4266     2.3850     2.3849     2.7842     0.1314  56.504253     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.78719  101.93458    33.1126    33.1114    24.3608    24.3598         34 0.0000e+00
 274.363831     25.000     24.819   4.134064   4.134077    15.5484    15.5487    15.5446    15.5449    85.4805     0.6275     4.4385     2.3777     2.3776     2.9674     0.1387  56.546108     0.0578 1.0000e-12     0.0000     100.00     5.0000    5.77817  101.42596    33.0899    33.0897    24.3805    24.3803         40 0.0000e+00
 274.363861     26.000     25.810   4.129530   4.129607    15.4973    15.4997    15.4934    15.4957    85.4723     0.6279     4.4381     2.3702     2.3700     2.9972     0.1399  56.718273     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.76899  101.16371    33.0919    33.0906    24.3934    24.3919         43 0.0000e+00
 274.363861     27.000     26.802   4.110596   4.110690    15.3226    15.3218    15.3185    15.3177    85.5900     0.6224     4.4441     2.3673     2.3672     2.7722     0.1309  56.700176     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.79393  101.23508    33.0689    33.0704    24.4141    24.4154         42 0.0000e+00
 274.363892     28.000     27.795   4.089059   4.089064    15.1146    15.1125    15.1104    15.1083    85.6300     0.6205     4.4462     2.3662     2.3660     3.0733     0.1429  56.683453     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.82217  101.29704    33.0501    33.0520    24.4451    24.4470         41 0.0000e+00
 274.363922     29.000     28.786   4.082811   4.082777    15.0590    15.0595    15.0547    15.0552    85.7312     0.6158     4.4514     2.3675     2.3673     2.6748     0.1270  56.516453     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.83403  101.38496    33.0403    33.0396    24.4496    24.4490         36 0.0000e+00
 274.363922     30.000     29.780   4.080182   4.080317    15.0359    15.0379    15.0314    15.0335    85.8255     0.6114     4.4562     2.3665     2.3664     2.7358     0.1294  56.821510     0.0580 1.0000e-12     0.0000     100.00     5.0000    5.82727  101.21790    33.0357    33.0352    24.4511    24.4503         34 0.0000e+00
 274.363953     31.000     30.775   4.077319   4.077127    15.0102    15.0092    15.0056    15.0046    85.7090     0.6169     4.4502     2.3640     2.3638     2.6640     0.1266  56.455223     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.82541  101.13086    33.0312    33.0303    24.4532    24.4527         37 0.0000e+00
 274.363983     32.000     31.765   4.068741   4.068853    14.9214    14.9235    14.9167    14.9188    85.8431     0.6106     4.4571     2.3493     2.3491     2.4979     0.1199  56.478764     0.0577 1.0000e-12     0.0000     100.00     5.0000    5.76193   99.85045    33.0283    33.0275    24.4702    24.4691         41 0.0000e+00
 274.364014     33.000     32.753   4.055759   4.056039    14.7874    14.7899    14.7825    14.7850    85.7116     0.6167     4.4504     2.3329     2.3327     2.4886     0.1195  56.736832     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.76419   99.61823    33.0237    33.0241    24.4954    24.4953         33 0.0000e+00
 274.364014     34.000     33.747   4.024492   4.025315    14.4814    14.4861    14.4765    14.4812    85.6933     0.6176     4.4494     2.3392     2.3391     2.5872     0.1235  56.693840     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.84538  100.38601    32.9982    33.0017    24.5408    24.5425         26 0.0000e+00
 274.364014     35.000     34.746   3.988633   3.990173    14.1318    14.1461    14.1268    14.1411    85.5442     0.6246     4.4418     2.3411     2.3410     2.7594     0.1304  56.631855     0.0578 1.0000e-12     0.0000     100.00     5.0000    5.87231  100.11954    32.9669    32.9689    24.5899    24.5885         27 0.0000e+00
 274.364044     36.000     35.740   3.947786   3.948650    13.7204    13.7221    13.7154    13.7171    85.5707     0.6233     4.4431     2.3348     2.3347     2.8825     0.1353  56.619858     0.0578 1.0000e-12     0.0000     100.00     5.0000    5.85519   98.98122    32.9411    32.9477    24.6548    24.6595         36 0.0000e+00
 274.364075     37.000     36.730   3.969346   3.966221    13.8371    13.8152    13.8319    13.8100    85.7315     0.6158     4.4514     2.3059     2.3058     2.7398     0.1296  56.935837     0.0582 1.0000e-12     0.0000     100.00     5.0000    5.73994   97.32130    33.0403    33.0302    24.7075    24.7042         63 0.0000e+00
 274.364105     38.000     37.719   4.015189   4.014709    14.1434    14.1428    14.1379    14.1374    85.8629     0.6097     4.4581     2.2801     2.2800     1.8646     0.0946  56.882435     0.0581 1.0000e-12     0.0000     100.00     5.0000    5.62610   96.08448    33.2008    33.1969    24.7683    24.7654         60 0.0000e+00
 274.364105     39.000     38.709   4.010760   4.010831    14.0843    14.0858    14.0787    14.0803    85.7986     0.6127     4.4548     2.2558     2.2557     1.8926     0.0957  57.021248     0.0582 1.0000e-12     0.0000     100.00     5.0000    5.54946   94.66723    33.2104    33.2097    24.7880    24.7872         36 0.0000e+00
 274.364136     40.000     39.702   3.999147   3.999393    13.9434    13.9476    13.9377    13.9419    85.6504     0.6196     4.4472     2.2455     2.2454     2.0104     0.1004  57.203613     0.0584 1.0000e-12     0.0000     100.00     5.0000    5.55651   94.52490    33.2242    33.2229    24.8279    24.8260         26 0.0000e+00
 274.364136     41.000     40.697   3.988728   3.989188    13.8238    13.8302    13.8181    13.8245    85.5941     0.6222     4.4443     2.2382     2.2380     2.1593     0.1064  56.728519     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.54789   94.15276    33.2306    33.2293    24.8575    24.8552         24 0.0000e+00
 274.364166     42.000     41.698   3.969592   3.970437    13.6329    13.6430    13.6271    13.6371    85.6376     0.6202     4.4466     2.2316     2.2315     2.1738     0.1070  56.617584     0.0578 1.0000e-12     0.0000     100.00     5.0000    5.55934   93.97266    33.2175    33.2167    24.8864    24.8837         28 0.0000e+00
 274.364166     43.000     42.688   3.948000   3.948890    13.4097    13.4178    13.4038    13.4119    85.9712     0.6046     4.4637     2.2234     2.2233     2.0741     0.1030  56.741432     0.0580 1.0000e-12     0.0000     100.00     5.0000    5.55220   93.41973    33.2093    33.2106    24.9253    24.9247         47 0.0000e+00
 274.364227     44.000     43.669   3.916547   3.919114    13.0907    13.1077    13.0847    13.1018    86.1744     0.5952     4.4741     2.1793     2.1792     1.6708     0.0868  57.084965     0.0583 1.0000e-12     0.0000     100.00     5.0000    5.38059   89.93247    33.1913    33.2006    24.9751    24.9789         32 0.0000e+00
 274.364227     45.000     44.664   3.895347   3.895936    12.8670    12.8731    12.8610    12.8671    86.3032     0.5892     4.4807     2.1458     2.1457     1.6884     0.0875  56.278900     0.0575 1.0000e-12     0.0000     100.00     5.0000    5.29059   88.01515    33.1862    33.1864    25.0153    25.0143         27 0.0000e+00
 274.364258     46.000     45.659   3.882108   3.882885    12.7283    12.7348    12.7222    12.7287    86.3977     0.5848     4.4855     2.1248     2.1247     1.6761     0.0870  56.287090     0.0575 1.0000e-12     0.0000     100.00     5.0000    5.24455   86.99647    33.1818    33.1834    25.0390    25.0390         24 0.0000e+00
 274.364258     47.000     46.658   3.838379   3.840517    12.2689    12.2858    12.2628    12.2797    86.5358     0.5785     4.4926     2.1050     2.1049     1.6570     0.0863  56.643208     0.0579 1.0000e-12     0.0000     100.00     5.0000    5.25240   86.28791    33.1679    33.1735    25.1165    25.1176         26 0.0000e+00
 274.364288     48.000     47.653   3.801949   3.802661    11.8749    11.8802    11.8688    11.8741    86.8773     0.5627     4.5101     2.0883     2.0882     1.5256     0.0810  56.777180     0.0580 1.0000e-12     0.0000     100.00     5.0000    5.27364   85.92247    33.1653    33.1675    25.1888    25.1895         38 0.0000e+00
 274.364288     49.000     48.637   3.779920   3.784594    11.6382    11.6917    11.6321    11.6855    86.7897     0.5668     4.5056     2.0642     2.0641     1.2597     0.0704  57.224918     0.0584 1.0000e-12     0.0000     100.00     5.0000    5.23258   84.82726    33.1615    33.1594    25.2297    25.2182         65 0.0000e+00
