      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 274.584320      1.000      0.992   4.285422   4.285078    16.9483    16.9482    16.9481    16.9480    82.5881     0.7652     4.2904     2.3806     2.3804     2.0929     0.1037  1338.9952     1.3676 1.0000e-12     0.0000     100.00     5.0000    5.59739  101.08558    33.2645    33.2615    24.1948    24.1925          5 0.0000e+00
 274.584381      2.000      1.983   4.285476   4.285168    16.9487    16.9493    16.9484    16.9490    82.4154     0.7736     4.2815     2.3822     2.3821     1.7983     0.0919  1289.6139     1.3171 1.0000e-12     0.0000     100.00     5.0000    5.62607  101.60408    33.2642    33.2610    24.1945    24.1919         45 0.0000e+00
 274.584473      3.000      2.972   4.285399   4.285118    16.9471    16.9481    16.9466    16.9476    82.4418     0.7723     4.2829     2.3823     2.3821     1.7000     0.0880  1214.1292     1.2400 1.0000e-12     0.0000     100.00     5.0000    5.62543  101.58954    33.2645    33.2613    24.1951    24.1924         39 0.0000e+00
 274.584473      4.000      3.969   4.285394   4.285248    16.9493    16.9493    16.9486    16.9487    82.3603     0.7763     4.2787     2.3839     2.3837     1.7533     0.0901  1169.8601     1.1948 1.0000e-12     0.0000     100.00     5.0000    5.62657  101.61320    33.2623    33.2610    24.1930    24.1920         27 0.0000e+00
 274.584503      5.000      4.973   4.285572   4.285388    16.9492    16.9500    16.9484    16.9492    82.1569     0.7862     4.2683     2.3811     2.3809     1.7488     0.0900  1267.0273     1.2941 1.0000e-12     0.0000     100.00     5.0000    5.61981  101.49170    33.2635    33.2612    24.1939    24.1920         38 0.0000e+00
 274.584534      6.000      5.950   4.285819   4.285497    16.9503    16.9508    16.9493    16.9498    82.4191     0.7734     4.2817     2.3729     2.3727     1.7656     0.0906  2252.1899     2.3003 1.0000e-12     0.0000      99.48     4.9739    5.58134  100.79964    33.2644    33.2612    24.1944    24.1918         36 0.0000e+00
 274.584564      7.000      6.944   4.285932   4.285604    16.9512    16.9517    16.9501    16.9505    82.4583     0.7715     4.2837     2.3696     2.3695     1.7291     0.0892  2316.6841     2.3661 1.0000e-12     0.0000      99.44     4.9719    5.59372  101.02481    33.2643    33.2610    24.1941    24.1915         28 0.0000e+00
 274.584564      8.000      7.942   4.286226   4.285938    16.9542    16.9550    16.9529    16.9537    82.3244     0.7780     4.2769     2.3724     2.3722     1.7681     0.0907  2287.0432     2.3359 1.0000e-12     0.0000      99.44     4.9719    5.60578  101.24826    33.2640    33.2608    24.1932    24.1907         23 0.0000e+00
 274.584595      9.000      8.946   4.286178   4.285820    16.9530    16.9533    16.9516    16.9519    82.3096     0.7787     4.2761     2.3754     2.3752     1.7755     0.0910  2144.1611     2.1899 1.0000e-12     0.0000      99.48     4.9739    5.61828  101.47191    33.2641    33.2608    24.1937    24.1910         33 0.0000e+00
 274.584656     10.000      9.921   4.285561   4.285196    16.9479    16.9481    16.9463    16.9465    82.4024     0.7742     4.2809     2.3753     2.3751     1.7852     0.0914  1959.3525     2.0012 1.0000e-12     0.0000      99.62     4.9810    5.62104  101.51087    33.2626    33.2593    24.1937    24.1912         45 0.0000e+00
 274.584656     11.000     10.919   4.278523   4.277765    16.8869    16.8837    16.8851    16.8819    82.3427     0.7771     4.2778     2.3813     2.3811     1.7420     0.0897  1975.9208     2.0181 1.0000e-12     0.0000      99.60     4.9801    5.64676  101.84820    33.2516    33.2477    24.1996    24.1974         34 0.0000e+00
 274.584686     12.000     11.915   4.256430   4.256417    16.6814    16.6838    16.6794    16.6819    82.4717     0.7709     4.2844     2.3888     2.3886     1.8028     0.0921  1874.2039     1.9142 1.0000e-12     0.0000      99.82     4.9911    5.70893  102.54594    33.2293    33.2271    24.2303    24.2282         41 0.0000e+00
 274.584686     13.000     12.904   4.233815   4.230161    16.4675    16.4330    16.4654    16.4310    82.3028     0.7791     4.2758     2.3996     2.3995     2.0465     0.1019  1287.2571     1.3147 1.0000e-12     0.0000     100.00     5.0002    5.75788  102.98355    33.2088    33.2054    24.2641    24.2694         47 0.0000e+00
 274.584717     14.000     13.899   4.221005   4.220294    16.3234    16.3173    16.3212    16.3151    82.2516     0.7816     4.2731     2.4061     2.4059     2.2379     0.1095  1255.1233     1.2819 1.0000e-12     0.0000     100.00     5.0000    5.78593  103.20000    33.2160    33.2148    24.3027    24.3032         39 0.0000e+00
 274.584747     15.000     14.892   4.224833   4.224751    16.3298    16.3304    16.3275    16.3280    82.2691     0.7807     4.2740     2.4045     2.4043     2.2664     0.1107  1240.9323     1.2674 1.0000e-12     0.0000     100.00     5.0000    5.77242  102.98934    33.2439    33.2427    24.3227    24.3217         63 0.0000e+00
