      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 275.956787      2.000      1.979   4.497530   4.493896    19.3191    19.2896    19.3188    19.2893    87.2124     0.5473     4.5272     2.3521     2.3520     0.3822     0.0353  48.325897     0.0494 1.9839e+02     2.7864     100.00     5.0000    5.27795   99.61891    33.1346    33.1281    23.5152    23.5178         18 0.0000e+00
 275.956970      3.000      2.980   4.496308   4.495189    19.3040    19.2980    19.3035    19.2974    87.2546     0.5454     4.5294     2.3478     2.3477     0.4096     0.0364  43.559124     0.0445 1.6473e+02     2.7001     100.00     5.0000    5.26417   99.33193    33.1362    33.1318    23.5203    23.5185         61 0.0000e+00
 275.957031      4.000      3.968   4.499651   4.500132    19.3354    19.3452    19.3347    19.3445    87.2671     0.5448     4.5300     2.3451     2.3450     0.4113     0.0365  40.025295     0.0409 1.4492e+02     2.6469     100.00     5.0000    5.24926   99.10970    33.1385    33.1347    23.5140    23.5087         34 0.0000e+00
 275.957031      5.000      4.964   4.494063   4.493524    19.2806    19.2785    19.2798    19.2776    87.2553     0.5453     4.5294     2.3434     2.3433     0.3921     0.0357  34.853447     0.0356 1.3453e+02     2.6140     100.00     5.0000    5.25405   99.09757    33.1356    33.1329    23.5259    23.5243         36 0.0000e+00
 275.957062      6.000      5.958   4.494164   4.494003    19.2783    19.2863    19.2772    19.2853    87.2601     0.5451     4.5297     2.3438     2.3437     0.4084     0.0363  30.174213     0.0308 1.1769e+02     2.5566     100.00     5.0000    5.26413   99.28466    33.1380    33.1302    23.5283    23.5204         38 0.0000e+00
 275.957092      7.000      6.951   4.495018   4.495098    19.2922    19.2973    19.2910    19.2961    87.2312     0.5464     4.5282     2.3440     2.3439     0.4093     0.0364  29.208700     0.0298 1.1507e+02     2.5469     100.00     5.0000    5.25135   99.06676    33.1336    33.1302    23.5215    23.5176         43 0.0000e+00
 275.957092      8.000      7.940   4.495384   4.494878    19.2913    19.2910    19.2898    19.2896    87.2278     0.5466     4.5280     2.3382     2.3381     0.4184     0.0367  27.158379     0.0277 1.1018e+02     2.5282     100.00     5.0000    5.23868   98.82803    33.1370    33.1330    23.5244    23.5214         39 0.0000e+00
 275.957123      9.000      8.933   4.494483   4.493845    19.2696    19.2694    19.2680    19.2678    87.2106     0.5474     4.5272     2.3399     2.3398     0.4157     0.0366  26.546026     0.0271 1.0886e+02     2.5230     100.00     5.0000    5.25873   99.17197    33.1464    33.1413    23.5371    23.5333         28 0.0000e+00
 275.957123     10.000      9.932   4.494724   4.494345    19.2692    19.2702    19.2674    19.2684    87.2081     0.5475     4.5270     2.3417     2.3416     0.4146     0.0366  26.349825     0.0269 1.0762e+02     2.5180     100.00     5.0000    5.25892   99.17580    33.1485    33.1445    23.5388    23.5355         27 0.0000e+00
 275.957153     11.000     10.926   4.495438   4.495244    19.2729    19.2744    19.2710    19.2724    87.2265     0.5466     4.5280     2.3438     2.3437     0.4072     0.0363  26.026911     0.0266 1.0793e+02     2.5193     100.00     5.0000    5.26338   99.26839    33.1510    33.1483    23.5399    23.5374         39 0.0000e+00
 275.957184     12.000     11.903   4.496804   4.496458    19.2787    19.2799    19.2766    19.2778    87.2278     0.5466     4.5280     2.3409     2.3408     0.4085     0.0363  25.497940     0.0260 1.0888e+02     2.5230     100.00     5.0000    5.24759   98.98492    33.1573    33.1535    23.5432    23.5401         33 0.0000e+00
 275.957214     13.000     12.904   4.498221   4.497573    19.2860    19.2856    19.2837    19.2833    87.2321     0.5464     4.5283     2.3428     2.3428     0.4074     0.0363  26.318268     0.0269 1.0898e+02     2.5234     100.00     5.0000    5.26369   99.30541    33.1629    33.1579    23.5457    23.5420         22 0.0000e+00
 275.957214     14.000     13.903   4.499545   4.499072    19.2925    19.2929    19.2900    19.2904    87.2385     0.5461     4.5286     2.3420     2.3419     0.4091     0.0364  25.840033     0.0264 1.0727e+02     2.5166     100.00     5.0000    5.24810   99.02646    33.1682    33.1641    23.5482    23.5449         23 0.0000e+00
 275.957214     15.000     14.900   4.500570   4.500096    19.2971    19.2976    19.2944    19.2950    87.1480     0.5503     4.5239     2.3382     2.3381     0.4114     0.0365  25.807331     0.0264 1.0643e+02     2.5132     100.00     5.0000    5.24199   98.92218    33.1727    33.1684    23.5505    23.5470         29 0.0000e+00
 275.957275     16.000     15.886   4.500997   4.500428    19.2990    19.2992    19.2961    19.2963    87.2340     0.5463     4.5284     2.3395     2.3394     0.4062     0.0362  26.832132     0.0274 1.0958e+02     2.5258     100.00     5.0000    5.25281   99.13081    33.1744    33.1695    23.5513    23.5475         44 0.0000e+00
 275.957275     17.000     16.875   4.501870   4.501359    19.3032    19.3036    19.3001    19.3006    87.2217     0.5469     4.5277     2.3415     2.3414     0.4073     0.0363  27.448128     0.0280 1.1100e+02     2.5314     100.00     5.0000    5.26518   99.37409    33.1779    33.1733    23.5530    23.5493         36 0.0000e+00
 275.957306     18.000     17.868   4.505326   4.504701    19.3192    19.3190    19.3160    19.3158    87.2279     0.5466     4.5280     2.3463     2.3462     0.4114     0.0365  27.326004     0.0279 1.1005e+02     2.5277     100.00     5.0000    5.27817   99.65807    33.1933    33.1883    23.5607    23.5569         28 0.0000e+00
 275.957306     19.000     18.865   4.508349   4.507671    19.3234    19.3246    19.3200    19.3213    87.2423     0.5459     4.5288     2.3475     2.3474     0.4298     0.0372  27.283125     0.0279 1.0906e+02     2.5238     100.00     5.0000    5.27156   99.55353    33.2145    33.2079    23.5758    23.5705         28 0.0000e+00
 275.957336     20.000     19.862   4.508778   4.508322    19.3221    19.3233    19.3185    19.3197    87.2610     0.5451     4.5297     2.3480     2.3479     0.4156     0.0366  27.328043     0.0279 1.0918e+02     2.5242     100.00     5.0000    5.27125   99.54776    33.2187    33.2141    23.5794    23.5756         36 0.0000e+00
 275.957367     21.000     20.849   4.509143   4.508592    19.3190    19.3206    19.3153    19.3168    87.2597     0.5451     4.5297     2.3463     2.3463     0.4181     0.0367  27.274813     0.0279 1.0869e+02     2.5223     100.00     5.0000    5.26800   99.48388    33.2238    33.2181    23.5841    23.5794         65 0.0000e+00
