      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C Potemp090C Potemp190C      Xmiss        Bat         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6 Sbeox0ML/L   Sbeox0PS      Sal00      Sal11  Sigma-é00  Sigma-é11       Nbin       Flag
 278.109497      1.000      0.988   4.483027   4.482942    19.3019    19.3026    19.3017    19.3024    84.1217     0.6911     4.3689     2.3423     2.3421     0.4635     0.0385  0.0002000     0.0000 1.0912e-01     0.2699     100.00     5.0000    5.26085   99.20218    33.0291    33.0279    23.4390    23.4379         14 0.0000e+00
 278.109528      2.000      1.986   4.483603   4.483205    19.3013    19.3022    19.3009    19.3018    86.2924     0.5899     4.4801     2.3450     2.3449     0.4705     0.0388  0.0002000     0.0000 5.3573e-03     0.1801     100.00     5.0000    5.26360   99.25587    33.0340    33.0300    23.4429    23.4396         56 0.0000e+00
 278.109589      3.000      2.974   4.483500   4.483040    19.3000    19.3012    19.2994    19.3007    84.9787     0.6524     4.4128     2.3424     2.3423     0.4706     0.0388  0.0002000     0.0000 1.1490e-04     0.1566     100.00     5.0000    5.25165   99.02782    33.0338    33.0290    23.4432    23.4392         39 0.0000e+00
 278.109619      4.000      3.969   4.484156   4.483646    19.3038    19.3047    19.3031    19.3040    87.2654     0.5448     4.5300     2.3411     2.3409     0.4689     0.0388  0.0002000     0.0000 1.0000e-12     0.1537     100.00     5.0000    5.24813   98.96983    33.0359    33.0310    23.4438    23.4399         35 0.0000e+00
 278.109650      5.000      4.962   4.484159   4.483637    19.3035    19.3041    19.3026    19.3033    87.2874     0.5439     4.5311     2.3399     2.3397     0.4689     0.0388  0.0002000     0.0000 1.0000e-12     0.1540     100.00     5.0000    5.24625   98.93364    33.0358    33.0310    23.4439    23.4400         27 0.0000e+00
 278.109650      6.000      5.957   4.484143   4.483619    19.3030    19.3038    19.3019    19.3027    87.3413     0.5414     4.5338     2.3393     2.3392     0.4700     0.0388  0.0002000     0.0000 1.0000e-12     0.1544     100.00     5.0000    5.24554   98.91941    33.0357    33.0307    23.4440    23.4400         27 0.0000e+00
 278.109650      7.000      6.956   4.484296   4.483747    19.3044    19.3050    19.3032    19.3038    87.3460     0.5412     4.5341     2.3397     2.3396     0.4709     0.0388  0.0002000     0.0000 1.0000e-12     0.1542     100.00     5.0000    5.24963   98.99894    33.0355    33.0305    23.4435    23.4396         42 0.0000e+00
 278.109680      8.000      7.941   4.484349   4.483833    19.3043    19.3052    19.3029    19.3037    87.3601     0.5405     4.5348     2.3367     2.3366     0.4664     0.0387  0.0002000     0.0000 1.0000e-12     0.1528     100.00     5.0000    5.23318   98.68864    33.0357    33.0307    23.4437    23.4397         63 0.0000e+00
 278.109711      9.000      8.932   4.484301   4.483761    19.3031    19.3039    19.3015    19.3023    87.3574     0.5406     4.5347     2.3319     2.3318     0.4590     0.0384  0.0002000     0.0000 1.0000e-12     0.1526     100.00     5.0000    5.22658   98.56219    33.0359    33.0308    23.4442    23.4402         40 0.0000e+00
 278.109741     10.000      9.927   4.484374   4.483831    19.3036    19.3041    19.3018    19.3023    87.3574     0.5406     4.5347     2.3330     2.3328     0.4708     0.0388  0.0002000     0.0000 1.0000e-12     0.1526     100.00     5.0000    5.23697   98.75878    33.0358    33.0309    23.4441    23.4402         29 0.0000e+00
