TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
291.875854	1.000	0.993	14.4579	4.087492	3.8538	1.0775	76.3857	0.3522	4.0826	1.0976	21.95	3.1897	3.1897	33.6088	6.95299	119.80315	302.740	302.740	25.0160	1503.34	0.00	4	0.0000e+00
291.875916	2.000	1.985	14.4478	4.086476	3.8682	1.0625	76.6743	0.3509	4.0642	1.4281	28.56	3.1906	3.1906	33.6079	6.96011	119.90070	303.051	303.051	25.0174	1503.32	0.00	17	0.0000e+00
291.875977	3.000	2.978	14.4191	4.083834	3.8477	1.0840	76.2626	0.3521	4.0812	1.1740	23.48	3.2067	3.2068	33.6081	7.02240	120.90404	305.763	305.763	25.0237	1503.25	0.00	13	0.0000e+00
291.876038	4.000	3.970	14.3826	4.080507	3.8018	1.1328	75.3401	0.5104	6.4561	1.1183	22.37	3.2321	3.2321	33.6089	7.11927	122.48183	309.981	309.981	25.0320	1503.15	0.00	12	0.0000e+00
291.876099	5.000	4.963	14.2960	4.072405	3.5922	1.3640	71.1258	1.1035	15.3532	1.3187	26.37	3.3128	3.3128	33.6092	7.38114	126.76585	321.384	321.384	25.0506	1502.88	0.00	15	0.0000e+00
291.876129	6.000	5.956	14.2285	4.065709	3.3192	1.6834	65.6367	2.2647	32.7707	1.5544	31.09	3.3695	3.3695	33.6059	7.46547	128.03775	325.058	325.058	25.0623	1502.68	0.00	15	0.0000e+00
291.876190	7.000	6.948	14.1994	4.062850	3.4166	1.5670	67.5952	2.1422	30.9328	1.3010	26.02	3.3377	3.3377	33.6044	7.35104	125.99992	320.076	320.076	25.0672	1502.60	0.00	12	0.0000e+00
291.876251	8.000	7.941	14.1475	4.058067	3.5845	1.3719	70.9703	1.6937	24.2049	0.9054	18.11	3.3170	3.3170	33.6051	7.33342	125.56618	319.309	319.309	25.0787	1502.45	0.00	11	0.0000e+00
291.876312	9.000	8.933	14.0515	4.049334	3.7232	1.2180	73.7590	1.2484	17.5253	1.3174	26.35	3.3249	3.3249	33.6076	7.37824	126.09062	321.261	321.261	25.1007	1502.16	0.00	18	0.0000e+00
291.876373	10.000	9.926	13.9276	4.037854	3.9165	1.0121	77.6464	0.8253	11.1795	1.7917	35.83	3.2933	3.2934	33.6091	7.24121	123.44017	315.296	315.296	25.1276	1501.77	0.00	13	0.0000e+00
291.876434	11.000	10.918	13.8836	4.034484	3.9787	0.9482	78.8965	0.5038	6.3563	1.1477	22.95	3.1842	3.1842	33.6159	6.91730	117.81743	301.192	301.192	25.1420	1501.65	0.00	11	0.0000e+00
291.876465	12.000	11.911	13.7546	4.022658	4.0613	0.8648	80.5587	0.4243	5.1650	1.3179	26.36	3.0417	3.0417	33.6185	6.53281	110.98092	284.451	284.451	25.1706	1501.25	0.00	14	0.0000e+00
291.876526	13.000	12.904	13.6859	4.016767	4.0731	0.8531	80.7949	0.4679	5.8188	0.8855	17.71	2.9530	2.9530	33.6235	6.40567	108.66993	278.915	278.915	25.1886	1501.05	0.00	19	0.0000e+00
291.876587	14.000	13.896	13.5681	4.006255	4.0963	0.8300	81.2624	0.4905	6.1575	1.1414	22.83	2.9175	2.9175	33.6283	6.32091	106.97781	275.225	275.225	25.2165	1500.68	0.00	17	0.0000e+00
291.876617	15.000	14.889	13.4512	3.994805	4.1088	0.8177	81.5122	0.4068	4.9016	0.5679	11.36	2.8730	2.8730	33.6236	6.18051	104.35073	269.114	269.114	25.2366	1500.31	0.00	20	0.0000e+00
291.876678	16.000	15.881	13.1848	3.967240	4.0903	0.8360	81.1404	0.4318	5.2775	0.7482	14.96	2.7158	2.7158	33.5989	5.66314	95.08270	246.595	246.595	25.2711	1499.41	0.00	18	0.0000e+00
291.876740	17.000	16.874	13.1007	3.959065	4.0436	0.8825	80.2011	0.4048	4.8719	0.7660	15.32	2.5537	2.5537	33.5957	5.35324	89.71780	233.102	233.102	25.2855	1499.15	0.00	15	0.0000e+00
291.876801	18.000	17.866	13.0854	3.958008	4.0306	0.8955	79.9415	0.3926	4.6893	0.7690	15.38	2.5064	2.5064	33.5988	5.29078	88.64460	230.382	230.382	25.2910	1499.11	0.00	13	0.0000e+00
291.876831	19.000	18.859	13.0297	3.952985	4.0371	0.8890	80.0722	0.4601	5.7021	0.6540	13.08	2.4862	2.4861	33.6002	5.23587	87.62498	227.992	227.992	25.3032	1498.95	0.00	16	0.0000e+00
291.876892	20.000	19.851	12.9262	3.943247	4.0317	0.8945	79.9623	0.3529	4.0935	0.2734	5.47	2.4557	2.4557	33.5992	5.15921	86.15687	224.655	224.655	25.3229	1498.62	567.54	15	0.0000e+00
291.876953	21.000	20.844	12.8300	3.934212	4.0442	0.8819	80.2139	0.4183	5.0738	0.8381	16.76	2.4235	2.4235	33.5984	5.07798	84.63224	221.120	221.120	25.3413	1498.31	1454.33	16	0.0000e+00
291.876984	22.000	21.836	12.6041	3.912068	4.0566	0.8695	80.4625	0.3397	3.8957	0.5279	10.56	2.3722	2.3722	33.5879	4.92964	81.77018	214.665	214.665	25.3773	1497.55	1498.54	15	0.0000e+00
291.877808	23.000	22.829	12.4507	3.899997	4.0674	0.8587	80.6801	0.3961	4.7414	1.8143	36.29	2.2546	2.2545	33.6088	4.72210	78.08412	205.627	205.627	25.4233	1497.08	1498.48	4	0.0000e+00
