TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
292.871206	2.000	1.985	14.7745	4.114819	2.4773	2.8773	48.7064	4.5382	66.8738	1.4968	29.94	3.6009	3.6010	33.5842	8.01828	139.01818	349.127	349.127	24.9294	1504.34	0.00	10	0.0000e+00
292.871246	3.000	2.978	14.7371	4.111257	2.5389	2.7770	49.9459	4.5686	67.3295	1.8873	37.75	3.6018	3.6019	33.5837	7.96899	138.05986	346.981	346.981	24.9371	1504.24	0.00	14	0.0000e+00
292.871287	4.000	3.970	14.5321	4.091087	3.1017	1.9637	61.2616	4.3734	64.4018	1.2130	24.26	3.5085	3.5086	33.5762	7.59450	131.02776	330.679	330.679	24.9751	1503.59	0.00	14	0.0000e+00
292.871327	5.000	4.963	14.4760	4.086274	3.2108	1.8193	63.4568	4.2802	63.0027	2.6564	53.13	3.3370	3.3370	33.5804	7.18614	123.84388	312.898	312.898	24.9903	1503.43	0.00	14	0.0000e+00
292.871367	6.000	5.956	14.4457	4.083771	3.2288	1.7965	63.8189	4.2379	62.3679	1.7825	35.65	3.2394	3.2394	33.5832	7.01672	120.85263	305.521	305.521	24.9989	1503.35	0.00	14	0.0000e+00
292.871408	7.000	6.948	14.4299	4.082425	3.2988	1.7094	65.2267	3.9530	58.0954	1.7404	34.81	3.1919	3.1919	33.5842	6.92676	119.26585	301.604	301.604	25.0031	1503.32	0.00	14	0.0000e+00
292.871451	8.000	7.941	14.4043	4.080262	3.4428	1.5359	68.1210	3.7562	55.1436	2.1440	42.88	3.1549	3.1550	33.5862	6.85509	117.97230	298.483	298.483	25.0101	1503.26	0.00	15	0.0000e+00
292.871491	9.000	8.933	14.3647	4.077171	3.5310	1.4328	69.8949	2.4427	35.4404	1.6142	32.29	3.1765	3.1766	33.5917	6.98955	120.19441	304.337	304.337	25.0227	1503.15	0.00	15	0.0000e+00
292.871534	10.000	9.926	14.3366	4.075911	3.5798	1.3771	70.8756	1.7376	24.8633	2.0289	40.58	3.1853	3.1854	33.6041	6.89702	118.54559	300.305	300.305	25.0383	1503.09	0.00	13	0.0000e+00
292.871652	11.000	10.919	14.3169	4.075284	3.6313	1.3190	71.9109	0.9143	12.5148	2.5923	51.85	3.0398	3.0398	33.6152	6.50793	111.82114	283.362	283.362	25.0510	1503.06	0.00	10	0.0000e+00
292.871754	12.000	11.911	14.2924	4.073741	3.6443	1.3044	72.1739	0.4744	5.9158	1.9203	38.41	2.8966	2.8966	33.6219	6.12489	105.19204	266.683	266.683	25.0614	1503.00	0.00	20	0.0000e+00
292.871825	13.000	12.904	14.2418	4.069605	3.7113	1.2304	73.5202	0.4099	4.9481	0.7092	14.18	2.8166	2.8166	33.6274	6.01086	103.13115	261.717	261.717	25.0763	1502.86	0.00	10	0.0000e+00
