TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
298.885822	1.000	0.993	13.7875	4.008600	3.5613	1.3976	70.5048	0.4824	6.0358	0.5999	12.00	2.9627	2.9628	33.4631	6.45128	109.56140	280.933	25.0435	1500.98	0.00	2	0.0000e+00
298.885920	2.000	1.985	13.7900	4.008948	3.6241	1.3271	71.7663	0.5037	6.3560	1.1953	23.91	2.9658	2.9658	33.4638	6.45465	109.62466	281.079	25.0435	1501.02	0.00	12	0.0000e+00
298.885972	3.000	2.978	13.7906	4.009058	3.6859	1.2583	73.0104	0.4651	5.7768	1.6756	33.51	2.9656	2.9656	33.4639	6.45559	109.64188	281.120	25.0435	1501.04	0.00	14	0.0000e+00
298.886021	4.000	3.971	13.7908	4.009138	3.6802	1.2647	72.8939	0.4801	6.0020	0.7977	15.95	2.9667	2.9668	33.4640	6.45833	109.68900	281.239	25.0436	1501.05	0.00	11	0.0000e+00
298.886067	5.000	4.963	13.7894	4.008925	3.6843	1.2601	72.9767	0.4690	5.8354	1.1357	22.71	2.9662	2.9662	33.4629	6.45674	109.65795	281.170	25.0431	1501.06	0.00	10	0.0000e+00
298.886108	6.000	5.956	13.8009	4.010818	3.6916	1.2521	73.1238	0.5408	6.9121	0.6258	12.52	2.9689	2.9689	33.4701	6.47544	110.00631	281.983	25.0463	1501.13	0.00	16	0.0000e+00
298.886152	7.000	6.948	13.7940	4.013737	3.6792	1.2657	72.8759	0.7369	9.8536	1.0286	20.57	2.9889	2.9889	33.5029	6.53790	111.07449	284.696	25.0731	1501.16	0.00	10	0.0000e+00
298.886198	8.000	7.941	13.7964	4.015459	3.6492	1.2990	72.2720	0.8781	11.9712	0.9482	18.96	3.0002	3.0002	33.5164	6.54859	111.27095	285.159	25.0830	1501.20	0.00	12	0.0000e+00
298.886241	9.000	8.933	13.7951	4.016008	3.6193	1.3325	71.6709	1.0330	14.2956	0.4876	9.75	2.9991	2.9991	33.5223	6.53323	111.01087	284.489	25.0879	1501.22	0.00	15	0.0000e+00
298.886281	10.000	9.926	13.7442	4.011985	3.5165	1.4495	69.6043	0.9675	13.3126	0.9127	18.25	2.9647	2.9648	33.5289	6.40345	108.69796	278.837	25.1035	1501.08	0.00	10	0.0000e+00
298.886332	11.000	10.918	13.6848	4.006778	3.4720	1.5012	68.7080	1.0207	14.1106	0.7322	14.65	2.9075	2.9076	33.5320	6.28137	106.49818	273.521	25.1181	1500.90	0.00	15	0.0000e+00
298.886381	12.000	11.911	13.6486	4.003670	3.4604	1.5148	68.4751	1.0111	13.9672	0.3662	7.32	2.8796	2.8796	33.5343	6.22527	105.47063	271.078	25.1273	1500.80	0.00	11	0.0000e+00
298.886415	13.000	12.904	13.6181	4.001087	3.5246	1.4403	69.7655	0.9545	13.1177	0.7353	14.71	2.8650	2.8651	33.5364	6.19382	104.87405	269.709	25.1352	1500.72	0.00	10	0.0000e+00
298.886472	14.000	13.896	13.6133	4.000836	3.5728	1.3850	70.7342	1.0011	13.8160	0.2882	5.76	2.8563	2.8563	33.5379	6.18807	104.76737	269.458	25.1373	1500.73	0.00	11	0.0000e+00
298.886506	15.000	14.889	13.6006	3.999740	3.6051	1.3484	71.3839	0.9651	13.2757	1.0683	21.37	2.8533	2.8533	33.5384	6.17334	104.49111	268.817	25.1404	1500.70	0.00	6	0.0000e+00
298.886681	16.000	15.880	13.5825	3.998296	3.6581	1.2889	72.4509	1.1115	15.4738	2.2584	45.17	2.8454	2.8455	33.5403	6.16945	104.38790	268.647	25.1456	1500.66	0.00	3	0.0000e+00
