TimeJ	PrdM	DepSM	Tv290C	C0S/m	V0	Bat	Xmiss	V1	WetStar	V2	AltM	V3	Sbeox0V	Sal00	Sbeox0ML/L	Sbeox0PS	Sbeox0Mm/Kg	Sbeox0Mm/Kg	Sigma-é00	SvCM	AvgsvCM	Nbin	Flag
301.747253	1.000	0.993	13.6716	4.009823	3.7895	1.1464	75.0919	0.3239	3.6584	4.5963	91.93	3.0041	3.0042	33.5761	6.56275	111.26934	285.765	285.765	25.1546	1500.75	0.00	7	0.0000e+00
301.747681	2.000	1.985	13.6680	4.009391	3.8319	1.1005	75.9454	0.3603	4.2044	4.2115	84.23	3.0204	3.0205	33.5748	6.60877	112.04052	287.769	287.769	25.1543	1500.75	0.00	10	0.0000e+00
301.747650	3.000	2.978	13.6617	4.008886	3.8291	1.1036	75.8896	0.3476	4.0138	4.3145	86.29	3.0184	3.0184	33.5752	6.60724	112.00053	287.702	287.702	25.1559	1500.75	0.00	8	0.0000e+00
301.747681	4.000	3.970	13.6495	4.007641	3.8235	1.1096	75.7757	0.3896	4.6440	3.7695	75.39	3.0205	3.0205	33.5738	6.62079	112.20149	288.293	288.293	25.1574	1500.72	0.00	7	0.0000e+00
301.747711	5.000	4.963	13.6370	4.006522	3.8097	1.1242	75.4992	0.4312	5.2684	3.5100	70.20	3.0228	3.0228	33.5740	6.62159	112.18630	288.328	288.328	25.1601	1500.70	0.00	7	0.0000e+00
301.747711	6.000	5.956	13.6171	4.004553	3.8016	1.1328	75.3365	0.5805	7.5080	3.4545	69.09	3.0205	3.0205	33.5726	6.61561	112.03846	288.068	288.068	25.1632	1500.65	0.00	7	0.0000e+00
301.747742	7.000	6.948	13.6075	4.003686	3.7864	1.1492	75.0293	0.6768	8.9519	3.4010	68.02	3.0208	3.0208	33.5725	6.62590	112.19073	288.516	288.516	25.1651	1500.63	0.00	7	0.0000e+00
301.747772	8.000	7.941	13.6080	4.003836	3.7805	1.1555	74.9109	0.7843	10.5641	3.6786	73.57	3.0220	3.0221	33.5730	6.62749	112.21932	288.585	288.585	25.1654	1500.65	0.00	8	0.0000e+00
301.747772	9.000	8.933	13.6009	4.003231	3.7817	1.1542	74.9349	0.8863	12.0949	3.3349	66.70	3.0213	3.0213	33.5732	6.62030	112.08126	288.272	288.272	25.1671	1500.64	0.00	7	0.0000e+00
301.747803	10.000	9.926	13.5871	4.001895	3.7734	1.1631	74.7680	0.8506	11.5586	3.4076	68.15	3.0176	3.0176	33.5725	6.60727	111.82874	287.705	287.705	25.1693	1500.61	0.00	6	0.0000e+00
