      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C        Bat      Xmiss         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6      Sal00      Sal11 Potemp090C Potemp190C  Sigma-�00  Sigma-�11   Sbeox0PS Sbeox0ML/L  Sbeox0Mm/Kg       Nbin       Flag
 255.154999      1.000      0.991   3.860333   3.905134    12.7466    12.7830     0.8176    81.5133     4.1091     1.9854     1.9853     3.8012     0.1720  0.0002000     0.0000 1.0000e-12     0.0083      72.60     3.6300    32.9776    33.3719    12.7465    12.7829    24.8762    25.1744   69.82888    4.21319    183.546         51 0.0000e+00
 255.154938      2.000      1.985   3.848009   3.874386    12.4557    12.7750     0.8804    80.2443     4.0461     2.0132     2.0131     3.3482     0.1539  0.0002000     0.0000 1.0000e-12     0.0053      90.49     4.5243    33.1162    33.0858    12.4555    12.7747    25.0395    24.9544   76.38275    4.63485    201.896         52 0.0000e+00
 255.154907      3.000      2.978   3.848389   3.862941    12.2399    12.5804     0.7963    81.9548     4.1310     1.7466     1.7465     3.2972     0.1519  0.0002000     0.0000 1.0000e-12     0.0051     100.00     5.0000    33.3090    33.1472    12.2396    12.5800    25.2305    25.0398   78.95244    4.80545    209.303         52 0.0000e+00
 255.154877      4.000      3.970   3.848039   3.861260    12.1148    12.4071     0.6649    84.6907     4.2669     1.6052     1.6051     2.6269     0.1251  0.0002000     0.0000 1.0000e-12     0.0054     100.00     5.0000    33.4167    33.2837    12.1143    12.4066    25.3379    25.1791   55.56617    3.38782    147.549         58 0.0000e+00
 255.154831      5.000      4.962   3.846850   3.863013    11.9879    12.1438     0.6162    85.7242     4.3183     1.6116     1.6115     2.3929     0.1157  0.0002000     0.0000 1.0000e-12     0.0073     100.00     5.0000    33.5186    33.5351    11.9872    12.1431    25.4410    25.4244   54.25905    3.31493    144.365         49 0.0000e+00
 255.154785      6.000      5.954   3.845423   3.866967    12.0227    12.0883     0.5885    86.3178     4.3478     1.6276     1.6275     2.2783     0.1111  0.0002000     0.0000 1.0000e-12     0.0073     100.00     5.0000    33.4729    33.6228    12.0220    12.0875    25.3990    25.5030   55.00906    3.35925    146.300         34 0.0000e+00
 255.154785      7.000      6.954   3.855902   3.870245    12.1952    12.1736     0.5705    86.7081     4.3672     1.6317     1.6315     1.9982     0.0999  0.0002000     0.0000 1.0000e-12     0.0073     100.00     5.0000    33.4194    33.5774    12.1943    12.1727    25.3249    25.4516   55.03187    3.34962    145.884         46 0.0000e+00
 255.154709      8.000      7.935   3.842202   3.869801    11.8709    12.2013     0.5470    87.2181     4.3925     1.6159     1.6157     1.7909     0.0916  0.0002000     0.0000 1.0000e-12     0.0073     100.00     5.0000    33.5774    33.5477    11.8699    12.2003    25.5087    25.4233   57.61739    3.52745    153.616         37 0.0000e+00
 255.154709      9.000      8.939   3.847388   3.868516    12.0913    12.1884     0.5468    87.2236     4.3928     1.5884     1.5883     1.7745     0.0910  0.0002000     0.0000 1.0000e-12    -0.0013     100.00     5.0000    33.4286    33.5465    12.0901    12.1873    25.3518    25.4248   54.71293    3.33726    145.346         44 0.0000e+00
 255.154373     10.000      9.923   3.826656   3.854624    11.9243    12.1579     0.4973    88.3102     4.4467     1.5812     1.5811     1.4188     0.0768  0.0002000     0.0000 1.0000e-12     0.1115     100.00     5.0000    33.3779    33.4391    11.9230    12.1566    25.3438    25.3473   59.25110    3.62819    158.024         47 0.0000e+00
 255.154327     11.000     10.920   3.824477   3.846093    12.0746    12.1440     0.4869    88.5399     4.4581     1.4915     1.4913     1.4491     0.0780  0.0002000     0.0000 1.0000e-12     0.1314     100.00     5.0000    33.2217    33.3686    12.0732    12.1426    25.1943    25.2953   51.14524    3.12472    136.110         49 0.0000e+00
 255.154297     12.000     11.910   3.823948   3.840353    11.8201    12.1209     0.4765    88.7692     4.4695     1.4754     1.4752     1.4239     0.0770  0.0002000     0.0000 1.0000e-12     0.1313     100.00     5.0000    33.4438    33.3334    11.8186    12.1193    25.4145    25.2723   47.67717    2.92447    127.370         49 0.0000e+00
 255.154266     13.000     12.905   3.823117   3.836614    11.9156    12.0593     0.4623    89.0859     4.4853     1.4828     1.4826     1.4122     0.0765  0.0002000     0.0000 1.0000e-12     0.1315     100.00     5.0000    33.3495    33.3518    11.9140    12.0576    25.3235    25.2983   47.96695    2.93810    127.971         49 0.0000e+00
 255.154236     14.000     13.897   3.823012   3.834422    11.8771    11.9945     0.4676    88.9675     4.4794     1.4930     1.4929     1.3682     0.0747  0.0002000     0.0000 1.0000e-12     0.1312     100.00     5.0000    33.3829    33.3881    11.8753    11.9927    25.3566    25.3387   48.53550    2.97479    129.566         63 0.0000e+00
 255.154205     15.000     14.888   3.822720   3.832883    11.7299    11.9760     0.4615    89.1041     4.4862     1.5047     1.5046     1.2218     0.0689  0.0002000     0.0000 1.0000e-12     0.1307     100.00     5.0000    33.5118    33.3893    11.7280    11.9741    25.4842    25.3432   48.77788    2.99646    130.499         54 0.0000e+00
 255.154175     16.000     15.882   3.822344   3.831793    11.8329    11.9515     0.4649    89.0285     4.4824     1.5143     1.5141     1.2065     0.0683  0.0002000     0.0000 1.0000e-12     0.1299     100.00     5.0000    33.4149    33.4002    11.8309    11.9495    25.3898    25.3562   49.91666    3.06158    133.343         54 0.0000e+00
 255.154144     17.000     16.875   3.822610   3.827144    11.8233    11.9035     0.4512    89.3328     4.4975     1.5167     1.5165     1.3283     0.0731  0.0002000     0.0000 1.0000e-12     0.1296     100.00     5.0000    33.4258    33.3977    11.8211    11.9014    25.4001    25.3633   49.73013    3.05057    132.863         43 0.0000e+00
 255.154099     18.000     17.861   3.822851   3.819969    11.6330    11.7826     0.4464    89.4406     4.5029     1.5461     1.5459     1.1119     0.0645  0.0002000     0.0000 1.0000e-12     0.1300     100.00     5.0000    33.5995    33.4361    11.6307    11.7803    25.5704    25.4157   50.13914    3.08465    134.333         43 0.0000e+00
 255.154068     19.000     18.861   3.822747   3.818093    11.6314    11.6894     0.4383    89.6217     4.5119     1.5712     1.5711     1.0281     0.0611  0.0002000     0.0000 1.0000e-12     0.1309     100.00     5.0000    33.5995    33.5013    11.6291    11.6870    25.5707    25.4837   51.89815    3.19302    139.052         40 0.0000e+00
 255.153717     20.000     19.845   3.830401   3.808496    11.5786    11.4430     0.4074    90.3168     4.5464     1.6229     1.6227     0.8409     0.0536  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7208    33.6307    11.5761    11.4405    25.6747    25.6296   58.33813    3.59047    156.348         50 0.0000e+00
 255.153671     21.000     20.842   3.833520   3.810870    11.6191    11.3408     0.4000    90.4845     4.5547     1.5860     1.5858     0.8526     0.0541  0.0002000     0.0000 1.0000e-12     0.1296     100.00     5.0000    33.7153    33.7464    11.6164    11.3382    25.6630    25.7383   55.27184    3.39890    148.006         31 0.0000e+00
 255.153671     22.000     21.842   3.829879   3.812230    11.4842    11.4677     0.3951    90.5938     4.5602     1.5824     1.5823     0.8377     0.0535  0.0002000     0.0000 1.0000e-12     0.1297     100.00     5.0000    33.8022    33.6436    11.4814    11.4650    25.7554    25.6351   52.66408    3.24602    141.342         36 0.0000e+00
