## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
#- Subsetted for "on bottom" time of BED09 during 9 January 2017 event - it floated up
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
6525.933570 -348.740236 0 -121.861505 36.802468 6707.111829 240.255145 0.577104
6526.643998 -349.365919 0 -121.861512 36.802465 6708.058501 240.255152 0.796533
6527.077148 -349.651133 0 -121.861516 36.802463 6708.577120 240.255156 0.336442
6528.220726 -348.835441 0 -121.861527 36.802458 6709.981800 240.255162 0.380129
6528.702479 -349.033298 0 -121.861532 36.802456 6710.502600 240.255168 0.401221
6529.364304 -349.294269 0 -121.861538 36.802453 6711.214020 240.255172 0.038770
6530.507882 -349.103293 0 -121.861550 36.802448 6712.373435 240.255179 0.114557
6530.760959 -349.134272 0 -121.861552 36.802447 6712.628402 240.255184 0.163474
6531.651460 -349.290237 0 -121.861561 36.802443 6713.532457 240.255188 0.012454
6532.795038 -349.159605 0 -121.861572 36.802438 6714.683472 240.255195 0.109655
6532.819440 -349.162163 0 -121.861572 36.802438 6714.708008 240.255199 0.180784
6533.938616 -349.366345 0 -121.861583 36.802433 6715.845657 240.255204 0.145617
6534.877921 -349.461912 0 -121.861592 36.802429 6716.789811 240.255211 0.112046
6535.082194 -349.494479 0 -121.861594 36.802428 6716.996663 240.255216 0.055043
6536.225772 -349.536102 0 -121.861606 36.802423 6718.140999 240.255221 0.074760
6536.936403 -349.633099 0 -121.861613 36.802420 6718.858219 240.255227 0.133201
6537.369350 -349.688427 0 -121.861617 36.802418 6719.294687 240.255232 0.089999
