## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
3.928832 -145.441919 0 -121.810011 36.801605 145.494974 265.231332 29.506995
4.930952 -145.497570 0 -121.810022 36.801604 146.498639 265.231349 0.108843
5.933072 -145.660066 0 -121.810034 36.801604 147.513848 265.231355 0.115462
6.935192 -145.728984 0 -121.810045 36.801603 148.518335 265.231362 0.065172
7.937312 -145.790687 0 -121.810056 36.801602 149.522353 265.231369 0.045447
8.939433 -145.820070 0 -121.810067 36.801602 150.524904 265.231376 0.007097
9.941553 -145.804912 0 -121.810078 36.801601 151.527139 265.231382 0.027159
10.943673 -145.874504 0 -121.810090 36.801600 152.531673 265.231389 0.041909
11.881649 -145.886219 0 -121.810100 36.801600 153.469722 265.231396 0.012445
11.945793 -145.886975 0 -121.810101 36.801600 153.533871 265.231399 0.177188
12.947914 -146.075148 0 -121.810112 36.801599 154.553505 265.231403 0.055784
13.950034 -145.998779 0 -121.810123 36.801599 155.558531 265.231409 0.044483
14.952154 -145.985994 0 -121.810134 36.801598 156.560733 265.231416 0.018852
15.954274 -145.960994 0 -121.810146 36.801597 157.563165 265.231423 0.040156
16.956395 -145.905511 0 -121.810157 36.801597 158.566820 265.231430 0.037780
17.958515 -145.885274 0 -121.810168 36.801596 159.569145 265.231436 0.045406
18.960635 -145.814507 0 -121.810179 36.801595 160.573760 265.231443 0.072313
19.962756 -145.740341 0 -121.810190 36.801595 161.578621 265.231450 0.007678
20.964876 -145.799119 0 -121.810202 36.801594 162.582464 265.231457 0.081878
