Cruise,Bottle Number,Sample Type,Depth [m],Sample Volume [mL],Filter Diameter [mm],Sample Time,Filter Pore Size [um],Parameter Name,Parameter Value,Parameter Units,Laboratory,Researcher,Analysis Method,Comment Name,Comment Value
simz2013c19,2,Niskin,,2500,25,,30,B1006_barnacles,0.069,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.084,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.07,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,tuni931_tunicata,0.142,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,echi1712_echinoidea,3.56,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,2,Niskin,,2500,25,,30,brac2467_brachyura,0.048,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,B1006_barnacles,0.083,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,Cal1939_calanoida,0.086,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,sab1182_sabellariidae,0.055,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,tuni931_tunicata,0.052,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,echi1712_echinoidea,4,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,6,Niskin,,2500,25,,30,brac2467_brachyura,0.045,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,B1006_barnacles,0.071,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,Cal1939_calanoida,0.085,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,sab1182_sabellariidae,0.061,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,tuni931_tunicata,0.054,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,echi1712_echinoidea,4,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c19,10,Niskin,,2500,25,,30,brac2467_brachyura,0.039,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,B1006_barnacles,0.067,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,Cal1939_calanoida,0.194,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,sab1182_sabellariidae,0.197,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,tuni931_tunicata,0.458,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,echi1712_echinoidea,0.133,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,2,Niskin,,2500,25,,30,brac2467_brachyura,0.06,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c20,6,Niskin,,2500,25,,30,B1006_barnacles,0.072,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
