Cruise,Bottle Number,Sample Type,Depth [m],Sample Volume [m^3],Sample Time,Filter Diameter [mm],Filter Pore Size [um],Parameter Name,Parameter Value,Parameter Units,Laboratory,Researcher,Analysis Method,Comment Name,Comment Value
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,B1006_barnacles_A650,0.070,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,M2B_mussels_A650,0.047,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,GCRAB_Carcinus_A650,0.044,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL903_calanoida_A650,0.071,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL1939_calanoida_A650,4.000,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,POD1951_podoplea_A650,0.083,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SAB1182_sabellariidae_A650,0.051,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CRAB903_brachyura_A650,0.051,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,OS1022_polychaeta_A650,0.133,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SPI1181_spionidae_A650,0.044,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,B1006_barnacles_A450,0.115,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,M2B_mussels_A450,0.072,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,GCRAB_Carcinus_A450,0.065,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL903_calanoida_A450,0.120,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,POD1951_podoplea_A450,0.144,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SAB1182_sabellariidae_A450,0.066,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CRAB903_brachyura_A450,0.077,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,OS1022_polychaeta_A450,0.237,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c01,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SPI1181_spionidae_A450,0.050,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,B1006_barnacles_A650,0.055,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,M2B_mussels_A650,0.050,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,GCRAB_Carcinus_A650,0.039,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL903_calanoida_A650,0.047,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL1939_calanoida_A650,1.992,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,POD1951_podoplea_A650,0.057,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SAB1182_sabellariidae_A650,0.138,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CRAB903_brachyura_A650,0.054,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,OS1022_polychaeta_A650,0.112,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SPI1181_spionidae_A650,0.047,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,B1006_barnacles_A450,0.087,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,M2B_mussels_A450,0.079,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,GCRAB_Carcinus_A450,0.056,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL903_calanoida_A450,0.072,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL1939_calanoida_A450,3.736,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,POD1951_podoplea_A450,0.094,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SAB1182_sabellariidae_A450,0.251,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CRAB903_brachyura_A450,0.079,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,OS1022_polychaeta_A450,0.198,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c02,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SPI1181_spionidae_A450,0.058,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A650,0.053,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A650,0.052,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A650,0.065,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A650,1.290,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A650,0.057,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A650,0.073,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A650,0.051,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A650,0.056,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A650,0.042,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A450,0.076,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A450,0.072,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A450,0.057,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A450,0.099,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A450,2.563,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A450,0.083,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A450,0.141,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A450,0.079,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A450,0.091,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c03,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A450,0.060,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,B1006_barnacles_A650,0.078,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,M2B_mussels_A650,0.048,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,GCRAB_Carcinus_A650,0.045,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL903_calanoida_A650,0.052,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL1939_calanoida_A650,2.624,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,POD1951_podoplea_A650,0.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SAB1182_sabellariidae_A650,0.390,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CRAB903_brachyura_A650,0.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,OS1022_polychaeta_A650,0.044,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SPI1181_spionidae_A650,0.037,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,B1006_barnacles_A450,0.140,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,M2B_mussels_A450,0.075,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,GCRAB_Carcinus_A450,0.074,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL903_calanoida_A450,0.086,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,POD1951_podoplea_A450,0.075,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SAB1182_sabellariidae_A450,0.811,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CRAB903_brachyura_A450,0.066,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,OS1022_polychaeta_A450,0.074,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c04,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SPI1181_spionidae_A450,0.065,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,B1006_barnacles_A650,0.067,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,M2B_mussels_A650,0.060,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,GCRAB_Carcinus_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL903_calanoida_A650,0.106,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL1939_calanoida_A650,1.078,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,POD1951_podoplea_A650,0.068,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SAB1182_sabellariidae_A650,0.387,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CRAB903_brachyura_A650,0.051,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,OS1022_polychaeta_A650,0.217,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
